,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,month_sold,year_built,year_renovated,Geo_Clusters
58,951000.0,5,3.25,3250,14342,2.0,0.0,4.0,4,8,3250,0.0,2960,11044,8,6.0,12,0
59,430000.0,4,3.0,1850,9976,2.0,0.0,0.0,3,8,1850,0.0,2270,8542,2,9.0,12,1
61,289000.0,3,1.75,1260,8400,1.0,0.0,0.0,3,7,1260,0.0,1290,8750,8,5.0,12,4
62,505000.0,3,1.75,2519,8690,2.0,0.0,0.0,5,8,2519,0.0,2500,9500,10,7.0,12,4
63,549000.0,3,1.75,1540,1044,3.0,0.0,0.0,3,8,1540,0.0,1580,3090,12,11.0,12,2
64,425000.0,3,2.25,1660,6000,1.0,0.0,0.0,3,7,1110,550.0,1440,4080,6,7.0,12,4
65,317625.0,3,2.75,2770,3809,1.5,0.0,0.0,5,7,1770,1000.0,1440,4000,11,2.0,12,4
66,975000.0,4,2.5,2720,11049,2.0,0.0,0.0,3,10,2720,0.0,2750,11049,9,8.0,12,1
67,287000.0,4,2.5,2240,4648,2.0,0.0,0.0,3,7,2240,0.0,2221,4557,10,10.0,12,5
68,204000.0,3,1.0,1000,12070,1.0,0.0,0.0,4,7,1000,0.0,1010,12635,8,6.0,12,3
71,325000.0,3,2.0,1260,5612,1.0,0.0,0.0,4,7,1260,0.0,1640,4745,1,7.0,12,0
72,571000.0,4,2.0,2750,7807,1.5,0.0,0.0,5,7,2250,500.0,1510,7807,6,1.0,12,2
73,360000.0,4,2.5,2380,5000,2.0,0.0,0.0,3,8,2380,0.0,2420,5000,7,10.0,12,3
76,380000.0,4,1.75,1760,7300,1.0,0.0,0.0,3,7,880,880.0,1680,7500,10,5.0,12,0
77,480000.0,3,1.0,1040,5060,1.0,0.0,0.0,3,7,1040,0.0,890,5060,4,4.0,12,4
78,410000.0,3,1.0,1410,5060,1.0,0.0,0.0,4,7,910,500.0,1130,5693,6,5.0,12,2
80,390000.0,3,2.5,2350,5100,2.0,0.0,0.0,3,8,2350,0.0,2350,5363,12,10.0,12,3
81,360000.0,4,2.5,1900,5889,2.0,0.0,0.0,3,7,1900,0.0,1870,6405,12,9.0,12,3
82,355000.0,2,1.0,2020,6720,1.0,0.0,0.0,3,7,1010,1010.0,1720,6720,10,4.0,12,4
83,356000.0,3,1.5,1680,8712,1.0,0.0,0.0,3,8,1680,0.0,1850,8797,1,6.0,12,1
84,315000.0,3,1.0,960,6634,1.0,0.0,0.0,3,6,960,0.0,1570,7203,6,5.0,12,2
85,940000.0,3,1.5,2140,3600,2.0,0.0,0.0,3,9,1900,240.0,2020,4800,11,2.0,12,2
86,305000.0,5,2.25,2660,8400,1.5,0.0,0.0,5,7,2660,0.0,1590,8165,11,6.0,12,5
87,461000.0,3,3.25,2770,6278,2.0,0.0,0.0,3,9,1980,790.0,1900,7349,6,10.0,12,1
88,215000.0,2,2.25,1610,2040,2.0,0.0,0.0,4,7,1610,0.0,1950,2025,5,7.0,12,1
89,335000.0,2,1.75,1030,1066,2.0,0.0,0.0,3,7,765,265.0,1030,1106,9,10.0,12,4
90,243500.0,4,2.5,1980,7403,2.0,0.0,0.0,3,7,1980,0.0,1980,7510,5,8.0,12,5
91,1100000.0,5,2.75,3520,6353,2.0,0.0,0.0,4,10,3520,0.0,2520,6250,3,10.0,12,2
92,153000.0,3,1.0,1200,10500,1.0,0.0,0.0,3,7,1200,0.0,1350,10500,2,6.0,12,5
93,430000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1570,4500,7,3.0,12,2
94,700000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1570,4500,12,3.0,12,2
95,905000.0,4,2.5,3300,10250,1.0,0.0,0.0,3,7,2390,910.0,1950,6045,9,4.0,9,4
97,199000.0,4,1.5,1160,6400,1.0,0.0,0.0,4,7,1160,0.0,1160,6400,9,7.0,12,5
100,850830.0,3,2.5,2070,13241,1.5,0.0,0.0,5,9,1270,800.0,2200,4500,6,0.0,12,2
101,555000.0,3,2.0,1980,3478,1.5,0.0,0.0,4,7,1440,540.0,1610,3478,10,2.0,12,2
103,1090000.0,3,2.5,2920,8113,2.0,0.0,0.0,3,8,2920,0.0,2370,8113,10,4.0,10,1
105,375000.0,3,2.5,2340,10005,1.0,0.0,0.0,4,8,1460,880.0,2250,8162,4,7.0,12,1
106,460000.0,3,1.0,1670,4005,1.5,0.0,0.0,4,7,1170,500.0,1240,4005,5,3.0,12,2
107,188500.0,2,1.75,1240,2493,1.0,0.0,0.0,4,8,1240,0.0,1270,4966,7,8.0,12,5
109,470000.0,5,1.75,2030,12342,2.0,0.0,0.0,4,7,2030,0.0,2500,9433,8,4.0,12,0
110,597750.0,4,2.5,2310,9624,2.0,0.0,0.0,3,8,2310,0.0,1940,9636,7,8.0,12,1
111,570000.0,3,1.75,1260,3328,1.0,0.0,0.0,5,6,700,560.0,1380,3536,3,0.0,12,2
112,272500.0,3,1.75,1540,12600,1.0,0.0,0.0,4,7,1160,0.0,1540,11656,9,7.0,12,3
113,329950.0,3,1.75,2080,5969,1.0,0.0,2.0,3,7,1080,1000.0,2090,5500,11,7.0,12,4
116,518500.0,3,3.5,1590,1102,3.0,0.0,0.0,3,8,1590,0.0,1620,3166,6,10.0,12,2
117,205425.0,2,1.0,880,6780,1.0,0.0,0.0,4,6,880,0.0,1190,6780,6,4.0,12,1
118,171800.0,4,2.0,1570,9600,1.0,0.0,0.0,3,6,1570,0.0,1880,9000,1,4.0,12,4
119,535000.0,4,1.0,1610,2982,1.5,0.0,0.0,4,7,1610,0.0,1610,4040,5,2.0,12,4
120,660000.0,3,2.5,2400,6474,1.0,0.0,2.0,3,8,1560,840.0,2340,10856,1,6.0,12,2
121,391500.0,3,2.0,1450,9132,1.0,0.0,0.0,3,7,1450,0.0,1580,9104,11,8.0,12,2
122,395000.0,2,1.0,770,6000,1.0,0.0,0.0,3,6,770,0.0,1710,6000,4,5.0,12,2
123,445000.0,4,1.75,2100,4400,1.5,0.0,0.0,5,7,1720,380.0,1850,4400,11,2.0,12,4
124,770000.0,3,2.25,2910,10204,2.0,0.0,0.0,3,9,2910,0.0,2700,13992,6,8.0,12,0
126,445000.0,3,2.25,2100,8201,1.0,0.0,2.0,3,8,1620,480.0,2660,8712,7,6.0,12,1
127,260000.0,4,2.25,2160,8811,1.0,0.0,0.0,3,8,1360,800.0,2090,8400,7,7.0,12,5
128,822500.0,5,3.5,2320,4960,2.0,0.0,0.0,5,7,1720,600.0,1700,4960,6,2.0,12,2
129,430000.0,4,2.5,2070,4310,2.0,0.0,0.0,3,7,2070,0.0,1970,3748,4,10.0,12,6
130,212000.0,3,1.75,1060,7875,1.0,0.0,0.0,4,7,1060,0.0,1420,7680,1,8.0,12,3
131,660500.0,4,2.25,2010,9603,1.0,0.0,0.0,3,8,1440,570.0,2060,9793,4,8.0,12,1
133,453246.0,3,2.5,2010,2287,2.0,0.0,0.0,3,8,1390,620.0,1690,1662,5,11.0,12,6
134,675000.0,4,3.5,2140,2278,3.0,0.0,0.0,3,9,2140,0.0,1540,2285,1,10.0,12,2
136,220000.0,4,1.75,2020,7840,1.0,0.0,0.0,3,7,1010,1010.0,1750,8140,8,6.0,12,5
137,452000.0,4,2.25,2590,10002,1.0,0.0,0.0,4,8,1340,1250.0,1550,10436,5,6.0,12,2
138,382500.0,2,1.0,1190,4440,1.0,0.0,0.0,3,6,1190,0.0,1060,5715,7,8.0,12,2
139,519950.0,3,2.25,1170,1249,3.0,0.0,0.0,3,8,1170,0.0,1350,1310,5,11.0,12,2
140,665000.0,2,1.0,1110,3200,1.0,0.0,0.0,3,7,1110,0.0,1170,3600,6,2.0,12,2
141,527700.0,5,2.5,2820,9375,1.0,0.0,0.0,4,8,1550,1270.0,2820,9375,7,6.0,12,1
142,205000.0,3,1.0,1610,8579,1.0,0.0,0.0,4,7,1010,600.0,1610,8579,5,6.0,12,1
143,420000.0,3,1.0,1060,8097,1.0,0.0,0.0,4,7,940,120.0,1560,7940,4,2.0,12,2
144,500000.0,4,2.25,2030,8517,1.0,0.0,0.0,4,8,1380,650.0,2230,8824,2,6.0,12,1
146,890000.0,4,1.0,2550,4000,2.0,0.0,0.0,3,8,2370,180.0,2200,4000,6,0.0,12,2
148,258000.0,5,2.0,2260,12500,1.0,0.0,0.0,4,8,1130,1130.0,1360,18000,10,5.0,12,5
149,511000.0,3,1.0,1430,3455,1.0,0.0,0.0,3,7,980,450.0,1450,4599,11,4.0,12,2
150,532170.0,3,2.0,1360,3090,2.0,0.0,0.0,3,8,1360,0.0,1500,3090,8,8.0,12,2
151,560000.0,3,1.0,1110,5000,1.5,0.0,0.0,3,7,1110,0.0,1420,5000,4,4.0,12,2
152,282950.0,3,1.0,1250,8200,1.0,0.0,0.0,4,7,1250,0.0,1680,8633,3,5.0,12,5
154,350000.0,1,1.0,700,5100,1.0,0.0,0.0,3,7,700,0.0,1010,5100,5,4.0,12,2
155,215000.0,3,1.0,1180,7669,1.0,0.0,0.0,4,7,1180,0.0,1190,7669,7,6.0,12,1
157,320000.0,4,2.75,2640,7500,1.0,0.0,0.0,3,8,1620,1020.0,1980,7875,8,6.0,12,5
158,247000.0,3,2.0,1270,7198,1.5,0.0,0.0,3,7,1270,0.0,1160,7198,11,1.0,11,3
159,320000.0,4,1.75,1760,11180,1.0,0.0,0.0,4,8,1760,0.0,1730,11180,10,6.0,12,1
160,255000.0,5,2.25,2060,8632,1.0,0.0,0.0,3,7,1030,1030.0,1010,11680,5,6.0,12,4
161,438000.0,3,1.75,1780,9660,1.0,0.0,0.0,3,7,1780,0.0,1200,9660,3,6.0,12,0
163,441000.0,3,2.75,1910,7280,1.0,0.0,0.0,3,7,1160,750.0,1710,8152,6,7.0,12,2
165,370000.0,3,1.75,1580,7000,1.0,0.0,0.0,3,7,1180,400.0,1640,7500,12,7.0,12,0
166,269950.0,2,1.75,1340,7250,1.0,0.0,0.0,5,5,700,640.0,1830,9750,2,4.0,12,5
167,807100.0,4,2.5,2680,4499,2.0,0.0,0.0,3,9,2680,0.0,2920,4500,3,9.0,12,1
168,653000.0,3,2.5,2680,9750,1.0,0.0,0.0,4,8,1610,1070.0,2480,8750,6,7.0,12,2
169,371500.0,3,2.0,1370,8336,1.0,0.0,0.0,5,7,1370,0.0,1770,7288,6,6.0,12,2
171,272000.0,3,1.75,2160,7140,1.0,0.0,0.0,4,7,1670,490.0,1930,7350,1,7.0,12,5
172,313000.0,3,1.5,1340,7912,1.5,0.0,0.0,3,7,1340,0.0,1480,7940,5,5.0,12,2
174,673000.0,4,2.25,2590,8190,2.0,0.0,0.0,4,8,2590,0.0,2260,8335,9,7.0,12,1
175,425000.0,3,2.5,1120,1100,2.0,0.0,0.0,3,8,820,300.0,1590,1795,2,10.0,12,4
176,399950.0,5,2.75,1970,5400,1.0,0.0,0.0,3,7,1320,650.0,1280,2150,7,8.0,12,4
177,385000.0,3,1.0,1220,4800,1.0,0.0,0.0,3,6,1220,0.0,1200,4800,5,0.0,12,4
178,269950.0,3,1.5,1950,7560,1.0,0.0,2.0,4,7,1320,630.0,1950,8941,11,7.0,12,3
179,330000.0,2,1.0,1350,8220,1.0,0.0,0.0,3,7,1060,290.0,1540,8280,1,4.0,12,2
180,260000.0,3,2.5,1670,5797,2.0,0.0,0.0,3,7,1670,0.0,1670,6183,7,8.0,12,5
181,470000.0,4,3.0,2380,5125,1.5,0.0,0.0,4,7,1680,700.0,1410,5375,4,2.0,12,4
182,589000.0,4,3.0,2440,9600,2.0,0.0,0.0,5,7,2440,0.0,2290,9600,6,6.0,12,0
183,163500.0,2,1.5,1050,3419,2.0,0.0,0.0,3,7,1050,0.0,1050,3417,7,9.0,12,3
184,835000.0,4,2.75,3130,13412,2.0,0.0,0.0,3,9,2140,990.0,2260,9984,9,9.0,12,0
186,269000.0,4,1.75,1490,10000,1.0,0.0,0.0,4,8,1100,390.0,2190,8910,4,6.0,12,5
187,560000.0,3,2.5,1900,8744,2.0,0.0,0.0,3,8,1900,0.0,2030,8744,5,8.0,12,0
188,615000.0,4,1.0,1330,2400,1.5,0.0,0.0,4,6,1330,0.0,1330,4400,4,0.0,12,2
189,585188.0,3,2.25,2230,10026,1.0,0.0,0.0,3,8,1430,800.0,2230,9340,12,7.0,12,0
190,305000.0,3,1.75,1650,9480,1.0,0.0,0.0,3,7,1220,430.0,1540,8400,8,7.0,12,0
191,166950.0,3,1.0,1190,8820,1.0,0.0,0.0,3,6,1190,0.0,1230,7980,11,5.0,12,1
192,799000.0,3,2.5,2140,9897,1.0,0.0,0.0,4,8,2140,0.0,2680,10083,9,5.0,12,1
193,400000.0,3,2.5,2180,7508,1.0,0.0,0.0,4,7,1420,760.0,1900,7818,6,6.0,12,2
194,230000.0,3,1.0,1060,10228,1.0,0.0,0.0,3,7,1060,0.0,1570,10228,12,4.0,12,2
195,256883.0,3,2.5,1690,5025,2.0,0.0,0.0,3,8,1690,0.0,2550,5001,5,10.0,12,5
196,423000.0,4,2.0,1970,6480,1.5,0.0,0.0,5,7,1130,840.0,1500,6480,11,1.0,12,4
197,465000.0,3,2.5,2150,4084,2.0,0.0,0.0,3,8,2150,0.0,1750,2385,7,10.0,12,4
200,210000.0,3,1.0,860,11725,1.0,0.0,0.0,4,6,860,0.0,1300,9514,3,4.0,12,1
201,297000.0,3,2.5,1940,14952,2.0,0.0,0.0,3,8,1940,0.0,2030,10450,11,9.0,12,3
202,470000.0,3,1.0,1010,5000,1.0,0.0,0.0,3,7,1010,0.0,1680,5000,7,5.0,12,2
203,226500.0,3,1.5,1300,7370,1.0,0.0,0.0,4,7,900,400.0,1430,7500,8,7.0,12,5
204,274250.0,3,1.0,910,8450,1.0,0.0,0.0,4,6,910,0.0,1400,8040,3,6.0,12,1
205,840000.0,4,1.75,2480,11010,1.0,0.0,0.0,4,9,1630,850.0,2770,10744,8,6.0,12,1
206,677900.0,3,2.5,2440,4587,2.0,0.0,0.0,3,8,2440,0.0,2750,4587,9,10.0,12,0
207,425000.0,3,1.0,1010,5864,1.0,0.0,0.0,3,7,1010,0.0,1290,5000,2,1.0,12,4
208,180250.0,2,0.75,900,9600,1.0,0.0,0.0,3,6,900,0.0,1250,14280,11,4.0,12,4
210,320000.0,4,2.25,1550,7579,2.0,0.0,0.0,3,8,1550,0.0,1630,6397,4,9.0,12,3
211,625504.0,3,2.25,1270,1566,2.0,0.0,0.0,3,8,1060,210.0,1160,1327,7,11.0,12,2
212,592500.0,4,2.5,2240,12032,1.0,0.0,0.0,3,9,2240,0.0,2520,12368,5,8.0,12,6
214,477000.0,4,2.75,1720,6270,2.0,0.0,0.0,3,8,1720,0.0,2130,8700,5,7.0,12,4
217,445838.0,3,2.5,2250,5692,2.0,0.0,0.0,3,8,2250,0.0,1320,5390,7,9.0,12,4
218,1070000.0,2,2.25,3900,14864,1.0,0.0,3.0,3,8,1950,1950.0,2580,5184,8,4.0,12,4
219,467000.0,2,1.5,1320,10800,1.0,0.0,0.0,4,8,1320,0.0,2120,12040,10,4.0,12,2
220,686000.0,4,2.5,2760,6440,2.0,0.0,0.0,3,10,2760,0.0,3070,8127,8,9.0,12,6
221,279950.0,3,2.0,1750,9750,1.0,0.0,0.0,3,7,1350,400.0,1900,10125,6,6.0,12,5
224,328000.0,3,2.25,2020,8379,2.0,0.0,0.0,3,7,2020,0.0,2020,8031,9,9.0,12,3
225,390000.0,3,2.25,1250,7500,1.0,0.0,0.0,5,7,1250,0.0,1280,7392,6,4.0,12,4
226,479950.0,2,2.0,1510,6516,1.0,0.0,0.0,3,8,1510,0.0,1640,6009,3,10.0,12,0
227,264950.0,4,2.25,1720,9753,1.0,0.0,0.0,4,7,1120,600.0,1510,9753,5,7.0,12,5
229,516500.0,3,2.5,1480,4729,2.0,0.0,0.0,3,7,1480,0.0,2250,4729,3,10.0,12,0
233,213000.0,2,1.0,1000,10200,1.0,0.0,0.0,3,6,1000,0.0,1150,13702,11,6.0,12,6
234,475000.0,3,1.5,2480,5280,1.5,0.0,0.0,5,7,1620,860.0,2090,4800,9,4.0,12,4
237,410000.0,4,1.0,1970,4740,1.5,0.0,0.0,3,7,1670,300.0,1510,4740,3,0.0,10,2
240,225000.0,3,1.75,1430,8505,1.0,0.0,0.0,4,7,1430,0.0,1190,8640,12,6.0,12,5
241,210000.0,2,1.0,830,6000,1.0,0.0,0.0,3,6,830,0.0,830,4960,10,3.0,12,4
242,455000.0,2,1.0,1430,5000,1.5,0.0,0.0,2,7,1430,0.0,1450,3750,1,2.0,12,2
243,225000.0,3,1.0,1300,8316,1.0,0.0,0.0,4,6,1300,0.0,1260,8316,4,5.0,12,5
244,480000.0,2,1.0,1030,3060,1.0,0.0,2.0,4,7,790,240.0,1390,3060,8,1.0,12,2
245,363000.0,3,2.5,2740,11872,2.0,0.0,0.0,3,9,2740,0.0,2570,10377,2,8.0,12,5
246,2400000.0,4,2.5,3650,8354,1.0,1.0,4.0,3,9,1830,1820.0,3120,18841,9,9.0,12,0
247,181000.0,2,1.5,720,5120,1.0,0.0,0.0,3,6,720,0.0,1150,2566,2,5.0,12,4
248,250000.0,4,2.0,2010,7312,1.0,0.0,0.0,4,7,2010,0.0,2010,7650,3,7.0,12,5
249,481000.0,3,1.75,1560,3000,1.0,0.0,0.0,4,6,770,790.0,1390,3000,4,1.0,12,2
250,260000.0,3,2.0,1810,7209,1.0,0.0,0.0,4,7,1240,570.0,1750,7209,9,7.0,12,5
251,455000.0,4,2.5,3360,7685,2.0,0.0,0.0,3,9,3360,0.0,3060,6567,5,10.0,12,1
253,349500.0,3,1.0,1400,3538,1.0,0.0,0.0,3,7,800,600.0,1620,6331,4,5.0,12,4
254,245000.0,3,2.5,1730,7442,2.0,0.0,0.0,3,7,1730,0.0,1630,6458,9,8.0,12,5
255,592500.0,2,2.0,1420,9191,1.5,0.0,2.0,5,7,1420,0.0,1420,6816,5,2.0,12,2
256,385000.0,4,1.75,2360,7620,1.0,0.0,0.0,4,7,1180,1180.0,1910,7620,10,5.0,12,4
257,315000.0,3,1.75,1580,11455,1.0,0.0,0.0,4,7,1200,380.0,1550,10650,2,7.0,12,1
258,255000.0,3,1.0,1230,10170,1.0,0.0,0.0,3,7,1230,0.0,1380,10098,11,7.0,12,6
259,693000.0,4,2.5,2460,4425,2.0,0.0,0.0,3,8,2460,0.0,2990,5659,8,10.0,12,0
260,780000.0,3,1.0,1660,4400,1.5,0.0,0.0,3,8,1460,200.0,1660,4400,12,1.0,12,2
261,237000.0,3,1.75,1270,8470,1.0,0.0,0.0,4,7,1270,0.0,1600,8470,10,5.0,12,5
263,425000.0,2,1.0,770,5040,1.0,0.0,0.0,3,5,770,0.0,1330,2580,4,2.0,12,4
264,369900.0,1,0.75,760,10079,1.0,1.0,4.0,5,5,760,0.0,1230,14267,10,3.0,12,4
265,290000.0,4,2.5,1700,7280,2.0,0.0,0.0,4,7,1700,0.0,1950,7475,5,8.0,12,1
266,285000.0,3,1.0,1120,10701,1.0,0.0,0.0,3,7,1120,0.0,1130,6350,9,5.0,12,4
267,415000.0,2,1.0,1070,4500,1.0,0.0,0.0,3,7,1070,0.0,1320,4465,8,3.0,12,2
268,272500.0,3,2.5,2070,9900,1.0,0.0,0.0,3,8,1420,650.0,2070,8250,4,7.0,12,5
271,436000.0,2,1.0,1040,7538,1.0,0.0,0.0,4,7,1040,0.0,1440,7530,5,3.0,12,2
272,210000.0,3,1.0,1700,11390,1.0,0.0,0.0,4,7,1700,0.0,1350,8164,10,6.0,12,5
273,236000.0,3,1.0,1300,5898,1.0,0.0,0.0,3,7,1300,0.0,1320,7619,9,6.0,12,4
274,331000.0,3,1.75,1080,1306,1.0,0.0,0.0,3,7,580,500.0,1440,2225,11,5.0,10,2
275,365000.0,3,2.5,2653,4510,2.0,0.0,0.0,3,8,2653,0.0,2653,4927,3,10.0,12,1
279,405000.0,3,1.75,2390,6000,1.0,0.0,0.0,3,6,1240,1150.0,2020,6000,5,0.0,12,4
280,304900.0,4,1.75,2600,11325,1.0,0.0,0.0,4,7,1610,990.0,1720,11088,7,6.0,12,5
281,170000.0,2,1.0,860,5265,1.0,0.0,0.0,3,6,860,0.0,1650,8775,2,3.0,12,4
282,2050000.0,5,3.0,3830,8480,2.0,0.0,1.0,5,9,2630,1200.0,3050,7556,5,0.0,9,2
283,780000.0,4,2.5,3500,7048,2.0,0.0,0.0,3,9,3500,0.0,3920,7864,6,10.0,12,0
284,330000.0,3,3.0,2420,13959,1.0,0.0,0.0,4,8,1740,680.0,2570,13300,4,8.0,12,2
285,370000.0,4,2.5,2720,8666,2.0,0.0,0.0,3,9,2720,0.0,2410,8100,9,9.0,12,3
286,467000.0,5,2.25,2500,13500,1.0,0.0,0.0,3,7,1850,650.0,2300,9750,10,7.0,12,0
287,405000.0,3,1.75,1670,6720,1.0,0.0,0.0,3,7,1140,530.0,1670,7320,2,7.0,12,0
288,675000.0,5,2.25,2900,10300,1.0,0.0,0.0,3,8,1450,1450.0,2310,10300,7,8.0,12,1
289,500000.0,2,1.0,1640,14100,1.0,0.0,0.0,4,7,1140,500.0,1520,13527,8,5.0,12,1
291,630000.0,4,1.75,2950,9025,1.0,0.0,2.0,4,8,1780,1170.0,2120,9600,2,7.0,12,2
292,360000.0,4,2.5,2160,9528,2.0,0.0,0.0,3,9,2160,0.0,2280,9937,10,9.0,12,5
293,580000.0,4,3.0,3280,11060,2.0,0.0,0.0,3,8,2270,1010.0,2320,11004,10,8.0,12,1
