,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,year_sold,month_sold,year_built,year_renovated,Geo_Clusters
26,937000.0,3,1.75,2450,2691,2.0,0.0,0.0,3,8,1750,700.0,1760,3573,2014,6,1.0,12,2
27,667000.0,3,1.0,1400,1581,1.5,0.0,0.0,5,8,1400,0.0,1860,3861,2014,12,0.0,12,2
28,438000.0,3,1.75,1520,6380,1.0,0.0,0.0,3,7,790,730.0,1520,6235,2014,6,4.0,12,2
29,719000.0,4,2.5,2570,7173,2.0,0.0,0.0,3,8,2570,0.0,2630,6026,2015,3,10.0,12,0
30,580500.0,3,2.5,2320,3980,2.0,0.0,0.0,3,8,2320,0.0,2580,3980,2014,11,10.0,12,1
31,280000.0,2,1.5,1190,1265,3.0,0.0,0.0,3,7,1190,0.0,1390,1756,2014,12,10.0,12,2
32,687500.0,4,1.75,2330,5000,1.5,0.0,0.0,4,7,1510,820.0,1460,5000,2014,6,2.0,12,2
33,535000.0,3,1.0,1090,3000,1.5,0.0,0.0,4,8,1090,0.0,1570,5080,2014,11,2.0,12,2
34,322500.0,4,2.75,2060,6659,1.0,0.0,0.0,3,7,1280,780.0,2020,8720,2014,12,8.0,12,1
35,696000.0,3,2.5,2300,3060,1.5,0.0,0.0,3,8,1510,790.0,1590,3264,2014,6,2.0,10,2
36,550000.0,4,1.0,1660,34848,1.0,0.0,0.0,1,5,930,730.0,2160,11467,2014,5,3.0,12,0
37,640000.0,4,2.0,2360,6000,2.0,0.0,0.0,4,8,2360,0.0,1730,4700,2014,12,0.0,12,2
38,240000.0,4,1.0,1220,8075,1.0,0.0,0.0,2,7,890,330.0,1290,7800,2015,2,6.0,12,5
39,605000.0,4,2.5,2620,7553,2.0,0.0,0.0,3,8,2620,0.0,2620,11884,2014,6,9.0,12,1
40,625000.0,4,2.5,2570,5520,2.0,0.0,0.0,3,9,2570,0.0,2470,5669,2014,7,9.0,12,0
41,775000.0,4,2.25,4220,24186,1.0,0.0,0.0,3,8,2600,1620.0,2410,30617,2014,8,8.0,12,4
42,861990.0,5,2.75,3595,5639,2.0,0.0,0.0,3,9,3595,0.0,3625,5639,2014,7,11.0,12,0
43,685000.0,3,1.0,1570,2280,2.0,0.0,0.0,3,7,1570,0.0,1580,2640,2014,10,2.0,12,2
44,309000.0,3,1.0,1280,9656,1.0,0.0,0.0,4,6,920,360.0,1340,8808,2014,7,5.0,12,1
45,488000.0,3,2.5,3160,13603,2.0,0.0,0.0,3,8,3160,0.0,3050,9232,2014,7,10.0,12,0
46,210490.0,3,1.0,990,8528,1.0,0.0,0.0,3,6,990,0.0,1228,8840,2015,3,6.0,12,5
47,785000.0,4,2.5,2290,13416,2.0,0.0,0.0,4,9,2290,0.0,2680,13685,2014,7,8.0,12,0
48,450000.0,3,1.75,1250,5963,1.0,0.0,0.0,4,7,1250,0.0,970,5100,2015,4,5.0,12,2
49,1350000.0,3,2.5,2753,65005,1.0,1.0,2.0,5,9,2165,588.0,2680,72513,2015,3,5.0,12,4
50,228000.0,3,1.0,1190,9199,1.0,0.0,0.0,3,7,1190,0.0,1190,9364,2014,9,5.0,12,5
51,345000.0,5,2.5,3150,9134,1.0,0.0,0.0,4,8,1640,1510.0,1990,9133,2015,2,6.0,12,1
52,600000.0,3,1.75,1410,4080,1.0,0.0,0.0,4,7,1000,410.0,1410,4080,2014,12,4.0,12,2
53,585000.0,2,1.75,1980,8550,1.0,0.0,0.0,3,7,990,990.0,1480,6738,2015,2,8.0,12,2
54,920000.0,5,2.25,2730,6000,1.5,0.0,0.0,3,8,2130,600.0,2730,6000,2015,3,2.0,12,2
55,885000.0,4,2.5,2830,5000,2.0,0.0,0.0,3,9,2830,0.0,1950,5000,2014,5,9.0,12,2
56,292500.0,4,2.5,2250,4495,2.0,0.0,0.0,3,7,2250,0.0,2250,4500,2014,8,10.0,12,3
57,301000.0,3,2.5,2420,4750,2.0,0.0,0.0,3,8,2420,0.0,2690,4750,2015,4,10.0,12,3
58,951000.0,5,3.25,3250,14342,2.0,0.0,4.0,4,8,3250,0.0,2960,11044,2014,8,6.0,12,0
59,430000.0,4,3.0,1850,9976,2.0,0.0,0.0,3,8,1850,0.0,2270,8542,2015,2,9.0,12,1
60,650000.0,3,2.25,2150,21235,1.0,0.0,3.0,4,8,1590,560.0,2570,18900,2014,12,5.0,12,4
61,289000.0,3,1.75,1260,8400,1.0,0.0,0.0,3,7,1260,0.0,1290,8750,2014,8,5.0,12,4
62,505000.0,3,1.75,2519,8690,2.0,0.0,0.0,5,8,2519,0.0,2500,9500,2014,10,7.0,12,4
63,549000.0,3,1.75,1540,1044,3.0,0.0,0.0,3,8,1540,0.0,1580,3090,2014,12,11.0,12,2
64,425000.0,3,2.25,1660,6000,1.0,0.0,0.0,3,7,1110,550.0,1440,4080,2014,6,7.0,12,4
65,317625.0,3,2.75,2770,3809,1.5,0.0,0.0,5,7,1770,1000.0,1440,4000,2014,11,2.0,12,4
66,975000.0,4,2.5,2720,11049,2.0,0.0,0.0,3,10,2720,0.0,2750,11049,2014,9,8.0,12,1
67,287000.0,4,2.5,2240,4648,2.0,0.0,0.0,3,7,2240,0.0,2221,4557,2014,10,10.0,12,5
68,204000.0,3,1.0,1000,12070,1.0,0.0,0.0,4,7,1000,0.0,1010,12635,2014,8,6.0,12,3
69,1330000.0,5,2.25,3200,20158,1.0,0.0,0.0,3,8,1600,1600.0,3390,20158,2014,6,6.0,12,0
70,1040000.0,5,3.25,4770,50094,1.0,0.0,0.0,4,11,3070,1700.0,3530,38917,2014,9,7.0,12,0
71,325000.0,3,2.0,1260,5612,1.0,0.0,0.0,4,7,1260,0.0,1640,4745,2015,1,7.0,12,0
72,571000.0,4,2.0,2750,7807,1.5,0.0,0.0,5,7,2250,500.0,1510,7807,2014,6,1.0,12,2
73,360000.0,4,2.5,2380,5000,2.0,0.0,0.0,3,8,2380,0.0,2420,5000,2014,7,10.0,12,3
74,349000.0,3,1.75,1790,50529,1.0,0.0,0.0,5,7,1090,700.0,1940,50529,2015,3,6.0,12,3
75,832500.0,4,4.0,3430,35102,2.0,0.0,0.0,4,10,2390,1040.0,3240,35020,2014,11,8.0,12,6
76,380000.0,4,1.75,1760,7300,1.0,0.0,0.0,3,7,880,880.0,1680,7500,2014,10,5.0,12,0
77,480000.0,3,1.0,1040,5060,1.0,0.0,0.0,3,7,1040,0.0,890,5060,2015,4,4.0,12,4
78,410000.0,3,1.0,1410,5060,1.0,0.0,0.0,4,7,910,500.0,1130,5693,2014,6,5.0,12,2
79,720000.0,4,2.5,3450,39683,2.0,0.0,0.0,3,10,3450,0.0,3350,39750,2015,3,10.0,12,3
80,390000.0,3,2.5,2350,5100,2.0,0.0,0.0,3,8,2350,0.0,2350,5363,2014,12,10.0,12,3
81,360000.0,4,2.5,1900,5889,2.0,0.0,0.0,3,7,1900,0.0,1870,6405,2014,12,9.0,12,3
82,355000.0,2,1.0,2020,6720,1.0,0.0,0.0,3,7,1010,1010.0,1720,6720,2014,10,4.0,12,4
83,356000.0,3,1.5,1680,8712,1.0,0.0,0.0,3,8,1680,0.0,1850,8797,2015,1,6.0,12,1
84,315000.0,3,1.0,960,6634,1.0,0.0,0.0,3,6,960,0.0,1570,7203,2014,6,5.0,12,2
85,940000.0,3,1.5,2140,3600,2.0,0.0,0.0,3,9,1900,240.0,2020,4800,2014,11,2.0,12,2
86,305000.0,5,2.25,2660,8400,1.5,0.0,0.0,5,7,2660,0.0,1590,8165,2014,11,6.0,12,5
87,461000.0,3,3.25,2770,6278,2.0,0.0,0.0,3,9,1980,790.0,1900,7349,2014,6,10.0,12,1
88,215000.0,2,2.25,1610,2040,2.0,0.0,0.0,4,7,1610,0.0,1950,2025,2014,5,7.0,12,1
89,335000.0,2,1.75,1030,1066,2.0,0.0,0.0,3,7,765,265.0,1030,1106,2014,9,10.0,12,4
90,243500.0,4,2.5,1980,7403,2.0,0.0,0.0,3,7,1980,0.0,1980,7510,2014,5,8.0,12,5
91,1100000.0,5,2.75,3520,6353,2.0,0.0,0.0,4,10,3520,0.0,2520,6250,2015,3,10.0,12,2
92,153000.0,3,1.0,1200,10500,1.0,0.0,0.0,3,7,1200,0.0,1350,10500,2015,2,6.0,12,5
93,430000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1570,4500,2014,7,3.0,12,2
94,700000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1570,4500,2014,12,3.0,12,2
95,905000.0,4,2.5,3300,10250,1.0,0.0,0.0,3,7,2390,910.0,1950,6045,2014,9,4.0,9,4
96,247500.0,3,1.75,1960,15681,1.0,0.0,0.0,3,7,1960,0.0,1750,15616,2015,3,6.0,12,5
97,199000.0,4,1.5,1160,6400,1.0,0.0,0.0,4,7,1160,0.0,1160,6400,2014,9,7.0,12,5
98,314000.0,3,1.75,1810,41800,1.0,0.0,0.0,5,7,1210,600.0,1650,135036,2014,7,7.0,12,3
99,437500.0,3,2.5,2320,36847,2.0,0.0,2.0,3,9,2320,0.0,2550,35065,2014,5,9.0,12,6
100,850830.0,3,2.5,2070,13241,1.5,0.0,0.0,5,9,1270,800.0,2200,4500,2014,6,0.0,12,2
101,555000.0,3,2.0,1980,3478,1.5,0.0,0.0,4,7,1440,540.0,1610,3478,2014,10,2.0,12,2
102,699950.0,3,2.25,2190,107593,2.0,0.0,0.0,4,8,2190,0.0,2570,47777,2014,12,8.0,12,0
103,1090000.0,3,2.5,2920,8113,2.0,0.0,0.0,3,8,2920,0.0,2370,8113,2014,10,4.0,10,1
104,290000.0,3,1.0,1210,33919,1.0,0.0,0.0,3,7,1210,0.0,1640,14910,2014,9,5.0,12,1
105,375000.0,3,2.5,2340,10005,1.0,0.0,0.0,4,8,1460,880.0,2250,8162,2015,4,7.0,12,1
106,460000.0,3,1.0,1670,4005,1.5,0.0,0.0,4,7,1170,500.0,1240,4005,2014,5,3.0,12,2
107,188500.0,2,1.75,1240,2493,1.0,0.0,0.0,4,8,1240,0.0,1270,4966,2014,7,8.0,12,5
108,680000.0,4,2.5,3140,28037,2.0,0.0,0.0,4,10,3140,0.0,2990,35001,2015,3,9.0,12,0
109,470000.0,5,1.75,2030,12342,2.0,0.0,0.0,4,7,2030,0.0,2500,9433,2014,8,4.0,12,0
110,597750.0,4,2.5,2310,9624,2.0,0.0,0.0,3,8,2310,0.0,1940,9636,2014,7,8.0,12,1
111,570000.0,3,1.75,1260,3328,1.0,0.0,0.0,5,6,700,560.0,1380,3536,2015,3,0.0,12,2
112,272500.0,3,1.75,1540,12600,1.0,0.0,0.0,4,7,1160,0.0,1540,11656,2014,9,7.0,12,3
113,329950.0,3,1.75,2080,5969,1.0,0.0,2.0,3,7,1080,1000.0,2090,5500,2014,11,7.0,12,4
114,480000.0,4,2.5,3230,16171,2.0,0.0,0.0,3,9,2520,710.0,2640,8517,2014,10,10.0,12,5
115,740500.0,3,3.5,4380,6350,2.0,0.0,0.0,3,8,2780,0.0,1830,6350,2014,11,,12,2
116,518500.0,3,3.5,1590,1102,3.0,0.0,0.0,3,8,1590,0.0,1620,3166,2014,6,10.0,12,2
117,205425.0,2,1.0,880,6780,1.0,0.0,0.0,4,6,880,0.0,1190,6780,2014,6,4.0,12,1
118,171800.0,4,2.0,1570,9600,1.0,0.0,0.0,3,6,1570,0.0,1880,9000,2015,1,4.0,12,4
119,535000.0,4,1.0,1610,2982,1.5,0.0,0.0,4,7,1610,0.0,1610,4040,2015,5,2.0,12,4
120,660000.0,3,2.5,2400,6474,1.0,0.0,2.0,3,8,1560,840.0,2340,10856,2015,1,6.0,12,2
121,391500.0,3,2.0,1450,9132,1.0,0.0,0.0,3,7,1450,0.0,1580,9104,2014,11,8.0,12,2
122,395000.0,2,1.0,770,6000,1.0,0.0,0.0,3,6,770,0.0,1710,6000,2015,4,5.0,12,2
123,445000.0,4,1.75,2100,4400,1.5,0.0,0.0,5,7,1720,380.0,1850,4400,2014,11,2.0,12,4
124,770000.0,3,2.25,2910,10204,2.0,0.0,0.0,3,9,2910,0.0,2700,13992,2014,6,8.0,12,0
125,1450000.0,4,2.75,2750,17789,1.5,0.0,0.0,3,8,1980,770.0,3060,11275,2015,3,1.0,9,0
126,445000.0,3,2.25,2100,8201,1.0,0.0,2.0,3,8,1620,480.0,2660,8712,2014,7,6.0,12,1
127,260000.0,4,2.25,2160,8811,1.0,0.0,0.0,3,8,1360,800.0,2090,8400,2014,7,7.0,12,5
128,822500.0,5,3.5,2320,4960,2.0,0.0,0.0,5,7,1720,600.0,1700,4960,2014,6,2.0,12,2
129,430000.0,4,2.5,2070,4310,2.0,0.0,0.0,3,7,2070,0.0,1970,3748,2015,4,10.0,12,6
130,212000.0,3,1.75,1060,7875,1.0,0.0,0.0,4,7,1060,0.0,1420,7680,2015,1,8.0,12,3
131,660500.0,4,2.25,2010,9603,1.0,0.0,0.0,3,8,1440,570.0,2060,9793,2015,4,8.0,12,1
132,784000.0,3,3.5,3950,111078,1.5,0.0,0.0,3,9,2460,1490.0,2480,88500,2014,6,8.0,12,0
133,453246.0,3,2.5,2010,2287,2.0,0.0,0.0,3,8,1390,620.0,1690,1662,2014,5,11.0,12,6
134,675000.0,4,3.5,2140,2278,3.0,0.0,0.0,3,9,2140,0.0,1540,2285,2015,1,10.0,12,2
135,199000.0,3,1.75,1320,17390,1.0,0.0,0.0,4,7,1320,0.0,1550,19265,2014,8,5.0,12,5
136,220000.0,4,1.75,2020,7840,1.0,0.0,0.0,3,7,1010,1010.0,1750,8140,2014,8,6.0,12,5
137,452000.0,4,2.25,2590,10002,1.0,0.0,0.0,4,8,1340,1250.0,1550,10436,2014,5,6.0,12,2
138,382500.0,2,1.0,1190,4440,1.0,0.0,0.0,3,6,1190,0.0,1060,5715,2014,7,8.0,12,2
139,519950.0,3,2.25,1170,1249,3.0,0.0,0.0,3,8,1170,0.0,1350,1310,2014,5,11.0,12,2
140,665000.0,2,1.0,1110,3200,1.0,0.0,0.0,3,7,1110,0.0,1170,3600,2014,6,2.0,12,2
141,527700.0,5,2.5,2820,9375,1.0,0.0,0.0,4,8,1550,1270.0,2820,9375,2014,7,6.0,12,1
142,205000.0,3,1.0,1610,8579,1.0,0.0,0.0,4,7,1010,600.0,1610,8579,2015,5,6.0,12,1
143,420000.0,3,1.0,1060,8097,1.0,0.0,0.0,4,7,940,120.0,1560,7940,2015,4,2.0,12,2
144,500000.0,4,2.25,2030,8517,1.0,0.0,0.0,4,8,1380,650.0,2230,8824,2015,2,6.0,12,1
145,921500.0,4,2.5,3670,315374,2.0,0.0,0.0,4,9,3670,0.0,2840,87991,2014,12,9.0,12,0
146,890000.0,4,1.0,2550,4000,2.0,0.0,0.0,3,8,2370,180.0,2200,4000,2014,6,0.0,12,2
147,430000.0,2,2.5,2420,60984,2.0,0.0,0.0,3,7,2420,0.0,1940,193842,2014,8,10.0,12,6
148,258000.0,5,2.0,2260,12500,1.0,0.0,0.0,4,8,1130,1130.0,1360,18000,2014,10,5.0,12,5
149,511000.0,3,1.0,1430,3455,1.0,0.0,0.0,3,7,980,450.0,1450,4599,2014,11,4.0,12,2
150,532170.0,3,2.0,1360,3090,2.0,0.0,0.0,3,8,1360,0.0,1500,3090,2014,8,8.0,12,2
151,560000.0,3,1.0,1110,5000,1.5,0.0,0.0,3,7,1110,0.0,1420,5000,2015,4,4.0,12,2
152,282950.0,3,1.0,1250,8200,1.0,0.0,0.0,4,7,1250,0.0,1680,8633,2015,3,5.0,12,5
153,2250000.0,4,3.25,5180,19850,2.0,0.0,3.0,3,12,3540,1640.0,3160,9750,2015,4,10.0,12,1
154,350000.0,1,1.0,700,5100,1.0,0.0,0.0,3,7,700,0.0,1010,5100,2014,5,4.0,12,2
155,215000.0,3,1.0,1180,7669,1.0,0.0,0.0,4,7,1180,0.0,1190,7669,2014,7,6.0,12,1
156,650000.0,5,3.5,3960,25245,2.0,0.0,0.0,3,9,2500,1460.0,2640,13675,2014,11,9.0,12,1
157,320000.0,4,2.75,2640,7500,1.0,0.0,0.0,3,8,1620,1020.0,1980,7875,2014,8,6.0,12,5
158,247000.0,3,2.0,1270,7198,1.5,0.0,0.0,3,7,1270,0.0,1160,7198,2014,11,1.0,11,3
159,320000.0,4,1.75,1760,11180,1.0,0.0,0.0,4,8,1760,0.0,1730,11180,2014,10,6.0,12,1
160,255000.0,5,2.25,2060,8632,1.0,0.0,0.0,3,7,1030,1030.0,1010,11680,2014,5,6.0,12,4
161,438000.0,3,1.75,1780,9660,1.0,0.0,0.0,3,7,1780,0.0,1200,9660,2015,3,6.0,12,0
162,900000.0,3,2.5,3400,16603,2.0,0.0,0.0,3,10,3400,0.0,3400,12601,2015,3,9.0,12,6
163,441000.0,3,2.75,1910,7280,1.0,0.0,0.0,3,7,1160,750.0,1710,8152,2014,6,7.0,12,2
164,420000.0,3,2.0,2020,38332,1.0,0.0,0.0,4,7,1010,1010.0,2110,36590,2014,8,7.0,12,3
165,370000.0,3,1.75,1580,7000,1.0,0.0,0.0,3,7,1180,400.0,1640,7500,2014,12,7.0,12,0
166,269950.0,2,1.75,1340,7250,1.0,0.0,0.0,5,5,700,640.0,1830,9750,2015,2,4.0,12,5
167,807100.0,4,2.5,2680,4499,2.0,0.0,0.0,3,9,2680,0.0,2920,4500,2015,3,9.0,12,1
168,653000.0,3,2.5,2680,9750,1.0,0.0,0.0,4,8,1610,1070.0,2480,8750,2014,6,7.0,12,2
169,371500.0,3,2.0,1370,8336,1.0,0.0,0.0,5,7,1370,0.0,1770,7288,2014,6,6.0,12,2
170,284000.0,3,1.75,1560,21000,1.0,0.0,0.0,3,7,1560,0.0,1070,7920,2015,3,5.0,12,4
171,272000.0,3,1.75,2160,7140,1.0,0.0,0.0,4,7,1670,490.0,1930,7350,2015,1,7.0,12,5
172,313000.0,3,1.5,1340,7912,1.5,0.0,0.0,3,7,1340,0.0,1480,7940,2014,5,5.0,12,2
173,917500.0,4,2.5,3880,35003,2.0,0.0,0.0,3,10,2570,1310.0,3740,35230,2015,1,8.0,12,0
174,673000.0,4,2.25,2590,8190,2.0,0.0,0.0,4,8,2590,0.0,2260,8335,2014,9,7.0,12,1
175,425000.0,3,2.5,1120,1100,2.0,0.0,0.0,3,8,820,300.0,1590,1795,2015,2,10.0,12,4
176,399950.0,5,2.75,1970,5400,1.0,0.0,0.0,3,7,1320,650.0,1280,2150,2014,7,8.0,12,4
177,385000.0,3,1.0,1220,4800,1.0,0.0,0.0,3,6,1220,0.0,1200,4800,2014,5,0.0,12,4
178,269950.0,3,1.5,1950,7560,1.0,0.0,2.0,4,7,1320,630.0,1950,8941,2014,11,7.0,12,3
179,330000.0,2,1.0,1350,8220,1.0,0.0,0.0,3,7,1060,290.0,1540,8280,2015,1,4.0,12,2
180,260000.0,3,2.5,1670,5797,2.0,0.0,0.0,3,7,1670,0.0,1670,6183,2014,7,8.0,12,5
181,470000.0,4,3.0,2380,5125,1.5,0.0,0.0,4,7,1680,700.0,1410,5375,2015,4,2.0,12,4
182,589000.0,4,3.0,2440,9600,2.0,0.0,0.0,5,7,2440,0.0,2290,9600,2014,6,6.0,12,0
183,163500.0,2,1.5,1050,3419,2.0,0.0,0.0,3,7,1050,0.0,1050,3417,2014,7,9.0,12,3
184,835000.0,4,2.75,3130,13412,2.0,0.0,0.0,3,9,2140,990.0,2260,9984,2014,9,9.0,12,0
185,1100000.0,5,3.0,4090,12850,1.0,0.0,2.0,4,10,2090,2000.0,2540,10270,2014,11,8.0,12,0
186,269000.0,4,1.75,1490,10000,1.0,0.0,0.0,4,8,1100,390.0,2190,8910,2015,4,6.0,12,5
187,560000.0,3,2.5,1900,8744,2.0,0.0,0.0,3,8,1900,0.0,2030,8744,2014,5,8.0,12,0
188,615000.0,4,1.0,1330,2400,1.5,0.0,0.0,4,6,1330,0.0,1330,4400,2015,4,0.0,12,2
189,585188.0,3,2.25,2230,10026,1.0,0.0,0.0,3,8,1430,800.0,2230,9340,2014,12,7.0,12,0
190,305000.0,3,1.75,1650,9480,1.0,0.0,0.0,3,7,1220,430.0,1540,8400,2014,8,7.0,12,0
191,166950.0,3,1.0,1190,8820,1.0,0.0,0.0,3,6,1190,0.0,1230,7980,2014,11,5.0,12,1
192,799000.0,3,2.5,2140,9897,1.0,0.0,0.0,4,8,2140,0.0,2680,10083,2014,9,5.0,12,1
193,400000.0,3,2.5,2180,7508,1.0,0.0,0.0,4,7,1420,760.0,1900,7818,2014,6,6.0,12,2
194,230000.0,3,1.0,1060,10228,1.0,0.0,0.0,3,7,1060,0.0,1570,10228,2014,12,4.0,12,2
195,256883.0,3,2.5,1690,5025,2.0,0.0,0.0,3,8,1690,0.0,2550,5001,2014,5,10.0,12,5
196,423000.0,4,2.0,1970,6480,1.5,0.0,0.0,5,7,1130,840.0,1500,6480,2014,11,1.0,12,4
197,465000.0,3,2.5,2150,4084,2.0,0.0,0.0,3,8,2150,0.0,1750,2385,2014,7,10.0,12,4
198,440000.0,3,2.5,1910,66211,2.0,0.0,0.0,3,7,1910,0.0,2330,67268,2015,1,9.0,12,6
199,385000.0,3,1.75,1350,155073,1.0,0.0,0.0,4,7,1350,0.0,1560,50965,2014,10,6.0,12,3
200,210000.0,3,1.0,860,11725,1.0,0.0,0.0,4,6,860,0.0,1300,9514,2015,3,4.0,12,1
201,297000.0,3,2.5,1940,14952,2.0,0.0,0.0,3,8,1940,0.0,2030,10450,2014,11,9.0,12,3
202,470000.0,3,1.0,1010,5000,1.0,0.0,0.0,3,7,1010,0.0,1680,5000,2014,7,5.0,12,2
203,226500.0,3,1.5,1300,7370,1.0,0.0,0.0,4,7,900,400.0,1430,7500,2014,8,7.0,12,5
204,274250.0,3,1.0,910,8450,1.0,0.0,0.0,4,6,910,0.0,1400,8040,2015,3,6.0,12,1
205,840000.0,4,1.75,2480,11010,1.0,0.0,0.0,4,9,1630,850.0,2770,10744,2014,8,6.0,12,1
206,677900.0,3,2.5,2440,4587,2.0,0.0,0.0,3,8,2440,0.0,2750,4587,2014,9,10.0,12,0
207,425000.0,3,1.0,1010,5864,1.0,0.0,0.0,3,7,1010,0.0,1290,5000,2015,2,1.0,12,4
208,180250.0,2,0.75,900,9600,1.0,0.0,0.0,3,6,900,0.0,1250,14280,2014,11,4.0,12,4
209,464000.0,6,3.0,2300,3404,2.0,0.0,0.0,3,7,1600,700.0,1560,1312,2014,7,1.0,9,2
210,320000.0,4,2.25,1550,7579,2.0,0.0,0.0,3,8,1550,0.0,1630,6397,2015,4,9.0,12,3
211,625504.0,3,2.25,1270,1566,2.0,0.0,0.0,3,8,1060,210.0,1160,1327,2014,7,11.0,12,2
212,592500.0,4,2.5,2240,12032,1.0,0.0,0.0,3,9,2240,0.0,2520,12368,2014,5,8.0,12,6
213,465000.0,3,2.5,2714,17936,2.0,0.0,0.0,3,9,2714,0.0,2590,18386,2015,1,10.0,12,5
214,477000.0,4,2.75,1720,6270,2.0,0.0,0.0,3,8,1720,0.0,2130,8700,2014,5,7.0,12,4
215,280000.0,2,1.0,850,16400,1.0,0.0,0.0,3,6,850,0.0,1100,14459,2015,1,2.0,12,4
216,1510000.0,5,3.0,3300,33474,1.0,0.0,3.0,3,9,1870,1430.0,3836,20953,2015,2,5.0,9,1
217,445838.0,3,2.5,2250,5692,2.0,0.0,0.0,3,8,2250,0.0,1320,5390,2014,7,9.0,12,4
218,1070000.0,2,2.25,3900,14864,1.0,0.0,3.0,3,8,1950,1950.0,2580,5184,2014,8,4.0,12,4
219,467000.0,2,1.5,1320,10800,1.0,0.0,0.0,4,8,1320,0.0,2120,12040,2014,10,4.0,12,2
220,686000.0,4,2.5,2760,6440,2.0,0.0,0.0,3,10,2760,0.0,3070,8127,2014,8,9.0,12,6
221,279950.0,3,2.0,1750,9750,1.0,0.0,0.0,3,7,1350,400.0,1900,10125,2014,6,6.0,12,5
222,527000.0,4,2.25,2330,19436,2.0,0.0,0.0,3,8,2330,0.0,1910,10055,2014,9,8.0,12,0
223,325000.0,3,2.25,2220,16020,1.0,0.0,0.0,4,8,1780,440.0,2080,9583,2014,9,6.0,12,5
224,328000.0,3,2.25,2020,8379,2.0,0.0,0.0,3,7,2020,0.0,2020,8031,2014,9,9.0,12,3
225,390000.0,3,2.25,1250,7500,1.0,0.0,0.0,5,7,1250,0.0,1280,7392,2014,6,4.0,12,4
